                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 0.7706,                 1.7135,                 1.3344,                0.76256,                0.41061,                0.46351,                0.36919,                 0.7226,                  1.543,                  1.247,               0.007723,               0.007723,               0.007723
                     72,                0.75346,                 1.6786,                 1.3188,                0.68758,                0.41684,                0.46322,                0.36152,                0.71823,                 1.5339,                 1.2435,                0.00769,                0.00769,                0.00769
                     73,                0.77033,                 1.6976,                 1.3323,                0.75141,                0.40223,                0.45363,                 0.3593,                0.71839,                 1.5518,                 1.2385,               0.007657,               0.007657,               0.007657
                     74,                0.75492,                 1.6505,                 1.3199,                0.69661,                0.40516,                 0.4558,                0.36099,                0.71078,                 1.5457,                 1.2472,               0.007624,               0.007624,               0.007624
                     75,                0.75614,                 1.6544,                 1.3241,                0.78339,                0.38981,                0.46322,                 0.3733,                0.71212,                 1.5317,                 1.2426,               0.007591,               0.007591,               0.007591
                     76,                0.75568,                 1.6654,                 1.3257,                0.59891,                 0.4251,                0.46899,                0.37033,                0.70933,                 1.5184,                 1.2369,               0.007558,               0.007558,               0.007558
                     77,                0.75475,                 1.6655,                 1.3172,                 0.6668,                0.40668,                0.46547,                0.37068,                0.70381,                 1.5157,                 1.2301,               0.007525,               0.007525,               0.007525
                     78,                0.74869,                 1.6217,                 1.3145,                0.72624,                0.40667,                0.47344,                0.37069,                0.70585,                 1.4979,                 1.2227,               0.007492,               0.007492,               0.007492
                     79,                0.75555,                 1.6283,                 1.3212,                0.55042,                 0.4384,                0.46829,                  0.375,                0.69169,                 1.4801,                 1.2168,               0.007459,               0.007459,               0.007459
                     80,                0.75106,                   1.62,                 1.3159,                0.74839,                0.41993,                0.47834,                0.38281,                 0.7016,                 1.4699,                 1.2344,               0.007426,               0.007426,               0.007426
                     81,                0.74792,                 1.6072,                 1.3056,                0.67941,                0.43669,                0.47656,                 0.3797,                0.69603,                 1.5097,                 1.2201,               0.007393,               0.007393,               0.007393
                     82,                0.73744,                 1.5919,                 1.3018,                0.64791,                0.43381,                0.48004,                0.38349,                0.70092,                 1.4872,                 1.2165,                0.00736,                0.00736,                0.00736
                     83,                0.74212,                 1.5951,                 1.3048,                0.62598,                0.45023,                0.48359,                0.38641,                0.69839,                 1.4661,                 1.2137,               0.007327,               0.007327,               0.007327
                     84,                0.73864,                 1.5736,                 1.3033,                0.72897,                0.44261,                0.48578,                0.39123,                0.68976,                 1.4347,                 1.2131,               0.007294,               0.007294,               0.007294
                     85,                0.73061,                 1.5503,                 1.2926,                0.71937,                0.42385,                0.47903,                0.38755,                0.69621,                   1.45,                   1.22,               0.007261,               0.007261,               0.007261
                     86,                0.72781,                 1.5402,                 1.2913,                0.74748,                0.39976,                0.48422,                0.39308,                0.69244,                 1.4725,                 1.2261,               0.007228,               0.007228,               0.007228
                     87,                0.72441,                 1.5518,                 1.2869,                0.71202,                0.40464,                 0.4784,                0.39038,                0.67929,                 1.4939,                 1.2054,               0.007195,               0.007195,               0.007195
                     88,                0.71964,                  1.524,                 1.2853,                0.73764,                0.39658,                0.48237,                0.38347,                0.69639,                 1.4509,                 1.2228,               0.007162,               0.007162,               0.007162
                     89,                 0.7195,                 1.5049,                 1.2863,                0.56672,                0.46136,                0.48355,                0.40163,                0.66939,                 1.4424,                 1.2024,               0.007129,               0.007129,               0.007129
                     90,                0.71313,                 1.4953,                 1.2844,                0.70829,                0.44464,                0.49812,                0.39969,                0.67803,                 1.4086,                 1.2064,               0.007096,               0.007096,               0.007096
                     91,                0.71164,                 1.4942,                 1.2793,                0.75755,                0.42692,                0.48984,                0.39731,                0.65933,                 1.4317,                  1.189,               0.007063,               0.007063,               0.007063
                     92,                0.71214,                 1.4641,                 1.2775,                0.69313,                0.45179,                0.50285,                0.40884,                0.67408,                  1.411,                  1.202,                0.00703,                0.00703,                0.00703
                     93,                 0.7168,                 1.4911,                 1.2759,                0.68538,                0.43434,                0.49437,                0.40117,                0.68224,                 1.3961,                 1.2127,               0.006997,               0.006997,               0.006997
                     94,                0.69776,                 1.4648,                 1.2739,                0.69759,                0.44115,                0.50279,                 0.4095,                0.68461,                  1.417,                 1.2149,               0.006964,               0.006964,               0.006964
                     95,                0.70632,                 1.4725,                 1.2751,                0.73563,                0.43215,                0.50192,                0.40769,                0.67599,                 1.4265,                 1.1976,               0.006931,               0.006931,               0.006931
                     96,                0.70299,                 1.4632,                 1.2699,                0.59014,                0.45865,                0.49783,                0.40203,                0.67642,                 1.3994,                 1.1999,               0.006898,               0.006898,               0.006898
                     97,                0.69452,                 1.4437,                 1.2623,                0.72836,                0.42603,                 0.5063,                0.40851,                0.66483,                 1.4063,                 1.1868,               0.006865,               0.006865,               0.006865
                     98,                0.69308,                 1.4317,                 1.2662,                0.78888,                0.41391,                0.49647,                0.40511,                0.68108,                 1.3992,                 1.1974,               0.006832,               0.006832,               0.006832
                     99,                0.70008,                 1.4226,                 1.2651,                0.58112,                0.48474,                0.49582,                0.40528,                0.67824,                 1.3912,                 1.2014,               0.006799,               0.006799,               0.006799
                    100,                0.70373,                 1.4227,                 1.2743,                0.69254,                0.42414,                0.50927,                0.41259,                0.67461,                 1.4114,                 1.2067,               0.006766,               0.006766,               0.006766
                    101,                0.69761,                 1.4046,                 1.2663,                0.66457,                0.45303,                0.49612,                0.40691,                0.65722,                 1.3766,                 1.1881,               0.006733,               0.006733,               0.006733
                    102,                0.69303,                  1.397,                 1.2642,                0.68637,                0.44174,                0.51057,                0.41962,                0.65222,                 1.3562,                 1.1806,                 0.0067,                 0.0067,                 0.0067
                    103,                0.68731,                 1.3918,                 1.2576,                0.69965,                0.43752,                0.50649,                0.41117,                0.65378,                 1.3434,                  1.181,               0.006667,               0.006667,               0.006667
                    104,                0.67916,                  1.388,                  1.252,                 0.6468,                0.45955,                0.51546,                0.42448,                0.65403,                 1.3368,                 1.1806,               0.006634,               0.006634,               0.006634
                    105,                0.66883,                   1.37,                 1.2413,                0.71348,                0.45357,                0.52437,                0.42968,                 0.6586,                  1.335,                 1.1815,               0.006601,               0.006601,               0.006601
                    106,                0.68122,                 1.3962,                  1.255,                0.62568,                0.47747,                0.52564,                0.42832,                0.65668,                 1.3417,                  1.185,               0.006568,               0.006568,               0.006568
                    107,                0.67376,                 1.3489,                 1.2454,                0.72079,                0.44931,                 0.5223,                0.42553,                0.66155,                 1.3482,                   1.19,               0.006535,               0.006535,               0.006535
                    108,                0.68116,                 1.3513,                 1.2509,                0.59035,                0.50431,                0.52904,                0.42958,                0.65475,                 1.3572,                 1.1845,               0.006502,               0.006502,               0.006502
                    109,                0.67601,                 1.3619,                 1.2471,                 0.6221,                0.47532,                0.50723,                0.41689,                0.65573,                 1.3671,                 1.1796,               0.006469,               0.006469,               0.006469
                    110,                0.67618,                 1.3427,                 1.2515,                0.53904,                0.49055,                0.51724,                0.42338,                0.65803,                 1.3318,                 1.1843,               0.006436,               0.006436,               0.006436
                    111,                0.66308,                 1.3232,                 1.2412,                0.58249,                0.49499,                0.51735,                0.42505,                0.65703,                 1.3414,                 1.1814,               0.006403,               0.006403,               0.006403
                    112,                0.66998,                 1.3333,                 1.2429,                 0.6624,                0.47484,                0.51827,                0.42651,                0.64669,                 1.3438,                 1.1729,                0.00637,                0.00637,                0.00637
                    113,                0.67071,                 1.3271,                  1.243,                0.68157,                0.45158,                0.51834,                0.42334,                 0.6474,                 1.3329,                 1.1696,               0.006337,               0.006337,               0.006337
                    114,                0.67077,                  1.313,                 1.2424,                0.57318,                0.47859,                0.52579,                0.42655,                0.65045,                 1.3322,                 1.1698,               0.006304,               0.006304,               0.006304
                    115,                0.66361,                 1.3067,                 1.2377,                 0.6656,                0.46874,                0.53803,                0.44401,                 0.6405,                 1.3076,                 1.1629,               0.006271,               0.006271,               0.006271
                    116,                0.66146,                 1.2904,                  1.234,                0.68105,                0.45283,                0.52082,                0.42781,                0.64946,                 1.3152,                 1.1688,               0.006238,               0.006238,               0.006238
                    117,                0.66035,                 1.3074,                 1.2357,                0.63938,                0.48884,                0.53071,                0.43333,                0.64101,                 1.2829,                 1.1651,               0.006205,               0.006205,               0.006205
                    118,                0.66003,                 1.2958,                 1.2316,                0.59104,                0.48406,                0.52792,                0.42909,                0.63963,                 1.2979,                 1.1664,               0.006172,               0.006172,               0.006172
                    119,                  0.653,                 1.2789,                 1.2275,                0.67675,                0.47527,                0.53154,                 0.4328,                0.64877,                  1.295,                 1.1726,               0.006139,               0.006139,               0.006139
                    120,                 0.6537,                 1.2512,                  1.223,                0.64114,                0.48981,                0.53072,                0.42884,                0.65204,                 1.2962,                 1.1814,               0.006106,               0.006106,               0.006106
                    121,                0.64651,                 1.2302,                 1.2238,                0.69025,                0.46351,                0.52764,                0.43048,                0.64149,                  1.314,                 1.1725,               0.006073,               0.006073,               0.006073
                    122,                 0.6453,                  1.242,                 1.2223,                0.68805,                0.46687,                 0.5272,                  0.434,                0.62897,                 1.3105,                 1.1609,                0.00604,                0.00604,                0.00604
                    123,                0.65045,                 1.2464,                  1.221,                0.67278,                 0.4664,                0.53455,                0.43606,                0.63138,                 1.2911,                 1.1657,               0.006007,               0.006007,               0.006007
