                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.70594,                 1.3247,                 1.2578,                 0.6259,                 0.4343,                0.48556,                0.39601,                0.71314,                 1.4195,                 1.2379,               0.007558,               0.007558,               0.007558
                     77,                0.70664,                 1.3324,                 1.2609,                0.59205,                0.45045,                0.48787,                0.39206,                0.71177,                 1.4439,                 1.2445,               0.007525,               0.007525,               0.007525
                     78,                0.69169,                 1.3137,                 1.2488,                0.53947,                0.48992,                0.50599,                0.40866,                0.70693,                 1.4185,                 1.2437,               0.007492,               0.007492,               0.007492
                     79,                0.69606,                 1.2997,                 1.2463,                0.66418,                0.45665,                0.50196,                0.40322,                0.71749,                 1.3929,                 1.2491,               0.007459,               0.007459,               0.007459
                     80,                0.69363,                 1.2879,                 1.2483,                0.65086,                0.46287,                 0.4971,                0.40564,                0.69734,                 1.3977,                 1.2357,               0.007426,               0.007426,               0.007426
                     81,                0.68722,                  1.275,                 1.2397,                0.58915,                0.46586,                 0.4867,                0.39663,                0.69443,                 1.4148,                 1.2293,               0.007393,               0.007393,               0.007393
                     82,                0.69036,                  1.289,                 1.2496,                0.72561,                 0.4549,                0.50411,                0.40476,                0.70695,                  1.414,                 1.2378,                0.00736,                0.00736,                0.00736
                     83,                0.68559,                 1.2823,                 1.2414,                0.65138,                 0.4721,                0.51067,                0.40656,                0.70936,                 1.3979,                 1.2439,               0.007327,               0.007327,               0.007327
                     84,                0.68421,                 1.2754,                 1.2428,                 0.6036,                0.48287,                0.51043,                0.40724,                0.70712,                 1.3931,                 1.2305,               0.007294,               0.007294,               0.007294
                     85,                0.68385,                 1.2627,                 1.2359,                0.62169,                0.48332,                0.50348,                0.40626,                0.70499,                 1.4352,                 1.2298,               0.007261,               0.007261,               0.007261
                     86,                0.67389,                 1.2422,                 1.2319,                 0.6612,                0.45884,                0.52302,                0.42217,                0.71709,                  1.397,                 1.2532,               0.007228,               0.007228,               0.007228
                     87,                0.68274,                 1.2503,                 1.2347,                0.67354,                0.44741,                0.51509,                 0.4187,                0.69653,                 1.3979,                 1.2203,               0.007195,               0.007195,               0.007195
                     88,                0.66112,                 1.2055,                  1.219,                 0.6393,                0.48948,                 0.5096,                0.40997,                0.70116,                 1.3875,                 1.2245,               0.007162,               0.007162,               0.007162
                     89,                0.66993,                 1.2041,                  1.226,                0.65848,                0.48837,                0.51062,                0.41249,                0.68305,                 1.3872,                 1.2186,               0.007129,               0.007129,               0.007129
                     90,                0.66037,                   1.19,                 1.2164,                0.71139,                 0.4567,                0.51295,                 0.4173,                0.68273,                 1.3499,                 1.2189,               0.007096,               0.007096,               0.007096
                     91,                0.65599,                 1.1951,                 1.2174,                0.64294,                0.47996,                0.51183,                0.41481,                0.68898,                 1.3536,                  1.225,               0.007063,               0.007063,               0.007063
                     92,                0.66938,                 1.1792,                 1.2253,                0.60847,                0.46463,                0.50588,                0.41146,                 0.6837,                 1.3621,                  1.213,                0.00703,                0.00703,                0.00703
                     93,                0.67148,                 1.1896,                  1.227,                0.63547,                0.48308,                0.50777,                0.41636,                0.67945,                 1.3658,                  1.209,               0.006997,               0.006997,               0.006997
                     94,                0.66351,                 1.1727,                 1.2171,                0.59855,                  0.506,                0.51008,                0.41163,                0.68129,                 1.3677,                 1.2174,               0.006964,               0.006964,               0.006964
                     95,                0.65509,                 1.1479,                 1.2117,                0.64795,                0.46603,                 0.5088,                0.41612,                 0.6797,                 1.3288,                 1.2127,               0.006931,               0.006931,               0.006931
                     96,                0.65743,                 1.1438,                 1.2087,                0.71842,                0.47236,                0.51819,                0.42425,                0.66733,                 1.3091,                 1.1951,               0.006898,               0.006898,               0.006898
                     97,                0.64826,                 1.1302,                 1.2005,                0.59278,                0.47891,                0.51303,                0.41919,                0.66181,                 1.3143,                 1.2018,               0.006865,               0.006865,               0.006865
                     98,                0.65738,                 1.1542,                 1.2124,                0.65079,                0.48166,                0.52366,                0.42341,                0.68061,                 1.3332,                 1.2185,               0.006832,               0.006832,               0.006832
                     99,                0.65384,                 1.1453,                 1.2096,                0.70457,                0.47072,                0.51458,                0.42381,                 0.6733,                 1.3484,                 1.2157,               0.006799,               0.006799,               0.006799
                    100,                0.64381,                 1.1289,                 1.2053,                0.66473,                0.49586,                0.52873,                0.43379,                0.68013,                  1.338,                 1.2204,               0.006766,               0.006766,               0.006766
                    101,                0.64535,                 1.1138,                 1.1974,                0.70945,                0.47736,                0.51749,                0.42186,                0.66719,                 1.3323,                 1.1982,               0.006733,               0.006733,               0.006733
                    102,                0.63857,                 1.1001,                 1.1965,                0.71591,                0.46693,                 0.5177,                 0.4176,                0.68729,                 1.3333,                  1.227,                 0.0067,                 0.0067,                 0.0067
                    103,                0.64896,                 1.1043,                 1.2017,                  0.715,                0.46212,                0.51753,                0.42296,                0.68266,                 1.3097,                 1.2246,               0.006667,               0.006667,               0.006667
                    104,                0.63744,                 1.0921,                 1.1968,                0.65597,                0.47178,                0.52171,                 0.4307,                0.66822,                 1.2876,                 1.2142,               0.006634,               0.006634,               0.006634
                    105,                0.63138,                 1.0769,                 1.1883,                0.68548,                0.50143,                0.53267,                0.43996,                0.66013,                 1.2753,                 1.2061,               0.006601,               0.006601,               0.006601
                    106,                0.63628,                 1.0892,                 1.2006,                0.65868,                0.48354,                0.52999,                0.43259,                0.66732,                 1.2909,                 1.2012,               0.006568,               0.006568,               0.006568
                    107,                 0.6284,                 1.0758,                  1.184,                0.57167,                0.48885,                 0.5181,                0.42672,                0.66421,                 1.3454,                 1.2032,               0.006535,               0.006535,               0.006535
                    108,                0.62989,                 1.0652,                 1.1892,                0.70353,                0.47056,                0.52644,                0.42838,                0.67395,                 1.3133,                 1.2015,               0.006502,               0.006502,               0.006502
                    109,                0.62212,                 1.0484,                 1.1823,                0.61892,                0.48379,                0.52489,                0.42835,                0.66329,                 1.3086,                 1.1948,               0.006469,               0.006469,               0.006469
                    110,                0.62763,                 1.0538,                  1.188,                0.64924,                0.48109,                0.52271,                0.42531,                0.66499,                 1.3112,                 1.2021,               0.006436,               0.006436,               0.006436
                    111,                0.61999,                 1.0422,                 1.1754,                0.59927,                0.48558,                0.51922,                0.42165,                0.66584,                 1.3061,                 1.2033,               0.006403,               0.006403,               0.006403
                    112,                0.61497,                 1.0333,                 1.1767,                0.60706,                0.50448,                0.52633,                0.43178,                0.64936,                 1.2984,                  1.176,                0.00637,                0.00637,                0.00637
                    113,                0.62278,                 1.0509,                 1.1864,                0.61729,                0.50393,                0.54195,                0.44176,                0.65455,                 1.2868,                 1.1891,               0.006337,               0.006337,               0.006337
                    114,                0.61428,                 1.0166,                 1.1742,                0.64806,                0.49891,                0.53722,                0.44121,                0.64624,                 1.3068,                 1.1766,               0.006304,               0.006304,               0.006304
                    115,                 0.6102,                 1.0157,                  1.171,                0.63452,                0.50661,                0.53164,                0.43607,                0.64895,                 1.3133,                  1.193,               0.006271,               0.006271,               0.006271
                    116,                0.60904,                 1.0157,                 1.1684,                0.68335,                0.47717,                0.52463,                0.43362,                0.64222,                 1.3082,                 1.1782,               0.006238,               0.006238,               0.006238
                    117,                0.60725,                 1.0004,                 1.1683,                0.65867,                0.49907,                0.53562,                0.43789,                0.66047,                 1.3197,                  1.201,               0.006205,               0.006205,               0.006205
                    118,                0.60494,                 0.9947,                 1.1646,                0.67204,                0.47643,                 0.5361,                0.44381,                0.65485,                 1.3191,                 1.1933,               0.006172,               0.006172,               0.006172
                    119,                0.60026,                0.97942,                 1.1613,                0.61629,                0.50908,                0.53912,                0.44748,                0.63993,                 1.2923,                 1.1812,               0.006139,               0.006139,               0.006139
                    120,                0.60325,                0.98644,                 1.1686,                0.75805,                0.47119,                0.53624,                0.44151,                 0.6432,                 1.2874,                 1.1887,               0.006106,               0.006106,               0.006106
                    121,                0.60498,                  0.994,                 1.1693,                0.56548,                0.53519,                0.54002,                0.44343,                0.65644,                 1.2836,                 1.2065,               0.006073,               0.006073,               0.006073
                    122,                0.60364,                0.97602,                 1.1643,                0.63238,                0.50455,                0.53003,                 0.4381,                0.65796,                 1.3048,                 1.2031,                0.00604,                0.00604,                0.00604
                    123,                0.60217,                0.97662,                 1.1674,                0.74347,                0.49909,                0.53795,                0.44388,                 0.6517,                 1.2888,                 1.2006,               0.006007,               0.006007,               0.006007
                    124,                0.59848,                0.97335,                  1.164,                0.72725,                0.49428,                0.53843,                0.44677,                 0.6525,                 1.2824,                  1.198,               0.005974,               0.005974,               0.005974
                    125,                0.60085,                0.96476,                 1.1615,                0.69372,                0.48121,                 0.5326,                0.44756,                0.64407,                  1.306,                 1.1917,               0.005941,               0.005941,               0.005941
                    126,                0.59898,                 0.9556,                 1.1605,                0.75271,                0.45967,                0.52443,                0.43666,                 0.6473,                 1.2951,                  1.202,               0.005908,               0.005908,               0.005908
                    127,                0.58218,                0.93735,                 1.1462,                0.64485,                0.50621,                 0.5375,                 0.4469,                0.65011,                 1.2974,                 1.1998,               0.005875,               0.005875,               0.005875
                    128,                0.58957,                0.94074,                  1.156,                 0.7673,                0.46702,                0.54394,                0.45113,                0.63845,                 1.2977,                 1.1874,               0.005842,               0.005842,               0.005842
                    129,                0.58057,                0.91636,                 1.1459,                0.76471,                0.49003,                0.54295,                0.45041,                 0.6367,                 1.2766,                 1.1839,               0.005809,               0.005809,               0.005809
                    130,                0.59077,                0.92306,                 1.1541,                0.67128,                0.48422,                0.54002,                 0.4464,                0.64593,                 1.2977,                 1.1908,               0.005776,               0.005776,               0.005776
                    131,                0.57595,                0.91032,                 1.1491,                0.57846,                0.52683,                0.54398,                0.44966,                0.63851,                  1.281,                 1.1896,               0.005743,               0.005743,               0.005743
                    132,                0.57945,                  0.916,                   1.15,                0.76098,                0.48504,                0.53295,                0.44308,                0.65024,                 1.3034,                 1.1974,                0.00571,                0.00571,                0.00571
                    133,                0.57941,                0.91344,                 1.1469,                0.74233,                0.47915,                0.53536,                0.44615,                0.64585,                  1.294,                 1.1904,               0.005677,               0.005677,               0.005677
                    134,                 0.5768,                0.91318,                 1.1456,                0.79919,                0.48361,                0.54052,                0.45352,                0.64325,                 1.2781,                  1.185,               0.005644,               0.005644,               0.005644
                    135,                0.57806,                0.91373,                 1.1447,                0.73874,                0.48666,                0.53419,                0.44633,                0.64889,                 1.3037,                 1.1918,               0.005611,               0.005611,               0.005611
                    136,                0.57426,                0.90927,                  1.139,                0.76123,                0.47847,                 0.5344,                0.44722,                0.65265,                 1.2806,                 1.2074,               0.005578,               0.005578,               0.005578
                    137,                0.56704,                0.88358,                 1.1364,                0.70262,                0.49487,                  0.544,                0.44971,                0.64249,                 1.2683,                 1.1904,               0.005545,               0.005545,               0.005545
                    138,                0.57198,                0.87717,                 1.1389,                0.66554,                0.48751,                0.54247,                0.44997,                 0.6454,                 1.2797,                 1.1924,               0.005512,               0.005512,               0.005512
                    139,                0.56924,                0.88962,                  1.138,                0.68282,                0.47839,                 0.5372,                0.44893,                0.64676,                 1.2949,                 1.1952,               0.005479,               0.005479,               0.005479
                    140,                0.56858,                0.87733,                 1.1376,                0.66576,                0.47879,                0.53574,                0.44909,                0.64558,                 1.2799,                 1.1874,               0.005446,               0.005446,               0.005446
                    141,                0.56112,                0.86346,                 1.1303,                0.74975,                0.46732,                0.53939,                0.45083,                0.63252,                 1.2814,                 1.1719,               0.005413,               0.005413,               0.005413
                    142,                0.56701,                 0.8699,                 1.1366,                0.74326,                0.47976,                0.53734,                 0.4491,                0.63425,                 1.2852,                 1.1721,                0.00538,                0.00538,                0.00538
